Word,Count,Salience,Word on Sentiment List #1: List1,Word on Sentiment List #2: List2,Word on Sentiment List #3: List3
Sentiment List#1,Positive,,,,
Sentiment List#2,Negative,,,,
Sentiment List#3,(Add your own word list),,,,
Words in Sentiment List#1,1504,0.039,,,
Words in Sentiment List#2,465,0.012,,,
Words in Sentiment List#3,0,0.000,,,
Non-categorized Words,36639,0.949,,,
Total Words,38608,1.000,,,
wetlands,348,0.014,FALSE,FALSE,FALSE
biodiversity,198,0.010,FALSE,FALSE,FALSE
#worldwetlandsday,193,0.009,FALSE,FALSE,FALSE
#ecosystemservices,180,0.009,FALSE,FALSE,FALSE
water,170,0.008,FALSE,FALSE,FALSE
#wetlands,131,0.007,FALSE,FALSE,FALSE
#biodiversity,120,0.007,FALSE,FALSE,FALSE
livelihoods,108,0.006,FALSE,FALSE,FALSE
management,106,0.007,FALSE,FALSE,FALSE
health,104,0.006,FALSE,FALSE,FALSE
forest,102,0.007,FALSE,FALSE,FALSE
carbon,98,0.007,FALSE,FALSE,FALSE
climate,92,0.006,FALSE,FALSE,FALSE
value,86,0.006,FALSE,FALSE,FALSE
wetland,85,0.006,FALSE,FALSE,FALSE
world,82,0.006,FALSE,FALSE,FALSE
food,80,0.006,FALSE,FALSE,FALSE
nature,76,0.005,FALSE,FALSE,FALSE
#actforwetlands,76,0.005,FALSE,FALSE,FALSE
natural,75,0.005,FALSE,FALSE,FALSE
protect,70,0.005,TRUE,FALSE,FALSE
science,70,0.005,FALSE,FALSE,FALSE
change,67,0.005,FALSE,FALSE,FALSE
assessment,67,0.005,FALSE,FALSE,FALSE
restoration,65,0.005,FALSE,FALSE,FALSE
life,64,0.005,FALSE,FALSE,FALSE
ecosystems,59,0.004,FALSE,FALSE,FALSE
benefits,59,0.005,TRUE,FALSE,FALSE
mercury,57,0.006,FALSE,FALSE,FALSE
people,56,0.004,FALSE,FALSE,FALSE
land,56,0.004,FALSE,FALSE,FALSE
local,56,0.004,FALSE,FALSE,FALSE
know,56,0.005,FALSE,FALSE,FALSE
policy,56,0.004,FALSE,FALSE,FALSE
#generationrestoration,56,0.004,FALSE,FALSE,FALSE
sustainable,55,0.004,TRUE,FALSE,FALSE
conservation,53,0.004,FALSE,FALSE,FALSE
urban,52,0.005,FALSE,FALSE,FALSE
environmental,52,0.004,FALSE,FALSE,FALSE
economic,51,0.004,FALSE,FALSE,FALSE
#ecosystem,50,0.004,FALSE,FALSE,FALSE
human,50,0.004,FALSE,FALSE,FALSE
ground,47,0.004,FALSE,FALSE,FALSE
soil,46,0.004,FALSE,FALSE,FALSE
habitats,44,0.004,FALSE,FALSE,FALSE
support,44,0.004,TRUE,FALSE,FALSE
flood,42,0.004,FALSE,FALSE,FALSE
key,42,0.004,FALSE,FALSE,FALSE
global,41,0.003,FALSE,FALSE,FALSE
habitat,41,0.003,FALSE,FALSE,FALSE
coastal,41,0.004,FALSE,FALSE,FALSE
development,41,0.003,FALSE,FALSE,FALSE
forests,40,0.004,FALSE,FALSE,FALSE
vital,39,0.003,FALSE,FALSE,FALSE
freshwater,39,0.003,FALSE,FALSE,FALSE
mitigation,39,0.003,FALSE,FALSE,FALSE
#worldwetlandday,39,0.003,FALSE,FALSE,FALSE
#climatechange,35,0.003,FALSE,FALSE,FALSE
essential,35,0.003,FALSE,FALSE,FALSE
planet,35,0.003,FALSE,FALSE,FALSE
national,35,0.003,FALSE,FALSE,FALSE
service,35,0.003,FALSE,FALSE,FALSE
species,33,0.003,FALSE,FALSE,FALSE
wildlife,33,0.003,FALSE,FALSE,FALSE
loss,33,0.003,FALSE,TRUE,FALSE
4,33,0.003,FALSE,FALSE,FALSE
impacts,33,0.003,FALSE,FALSE,FALSE
intergovernmental,32,0.003,FALSE,FALSE,FALSE
approaches,32,0.003,FALSE,FALSE,FALSE
institute,32,0.003,FALSE,FALSE,FALSE
restore,31,0.003,FALSE,FALSE,FALSE
critical,30,0.003,FALSE,TRUE,FALSE
air,30,0.003,FALSE,FALSE,FALSE
traits,30,0.003,FALSE,FALSE,FALSE
areas,30,0.003,FALSE,FALSE,FALSE
affect,30,0.003,FALSE,FALSE,FALSE
reducing,30,0.003,FALSE,FALSE,FALSE
cultural,29,0.003,FALSE,FALSE,FALSE
part,29,0.003,FALSE,FALSE,FALSE
theme,29,0.003,FALSE,FALSE,FALSE
root,29,0.003,FALSE,FALSE,FALSE
protection,28,0.003,TRUE,FALSE,FALSE
landscape,28,0.003,FALSE,FALSE,FALSE
phenotyping,28,0.003,FALSE,FALSE,FALSE
genetic,28,0.003,FALSE,FALSE,FALSE
performance,28,0.003,FALSE,FALSE,FALSE
solutions,27,0.003,FALSE,FALSE,FALSE
clean,27,0.003,TRUE,FALSE,FALSE
healthy,27,0.003,TRUE,FALSE,FALSE
ecological,27,0.003,FALSE,FALSE,FALSE
#nature,26,0.002,FALSE,FALSE,FALSE
save,26,0.002,FALSE,FALSE,FALSE
#sdgs,26,0.003,FALSE,FALSE,FALSE
issue,26,0.003,FALSE,TRUE,FALSE
governance,26,0.002,FALSE,FALSE,FALSE
sequestration,26,0.002,FALSE,FALSE,FALSE
modelling,26,0.002,FALSE,FALSE,FALSE
technology,26,0.002,FALSE,FALSE,FALSE
range,25,0.002,FALSE,FALSE,FALSE
degradation,25,0.002,FALSE,TRUE,FALSE
foods,25,0.003,FALSE,FALSE,FALSE
indian,25,0.002,FALSE,FALSE,FALSE
'valuation,25,0.002,FALSE,FALSE,FALSE
landscape',25,0.002,FALSE,FALSE,FALSE
communities,24,0.002,FALSE,FALSE,FALSE
quality,24,0.002,FALSE,FALSE,FALSE
actions,24,0.002,FALSE,FALSE,FALSE
security,24,0.002,FALSE,FALSE,FALSE
impact,24,0.002,FALSE,FALSE,FALSE
negative,24,0.002,FALSE,TRUE,FALSE
tourism,23,0.002,FALSE,FALSE,FALSE
community,23,0.002,FALSE,FALSE,FALSE
supply,23,0.002,FALSE,FALSE,FALSE
models,23,0.002,FALSE,FALSE,FALSE
emissions,23,0.002,FALSE,FALSE,FALSE
developing,22,0.002,FALSE,FALSE,FALSE
face,21,0.002,FALSE,FALSE,FALSE
purification,21,0.002,FALSE,FALSE,FALSE
sustain,21,0.002,FALSE,FALSE,FALSE
#africa,21,0.002,FALSE,FALSE,FALSE
source,20,0.002,FALSE,FALSE,FALSE
control,20,0.002,FALSE,FALSE,FALSE
investment,20,0.002,FALSE,FALSE,FALSE
recreational,20,0.002,FALSE,FALSE,FALSE
opportunities,20,0.002,FALSE,FALSE,FALSE
protecting,20,0.002,FALSE,FALSE,FALSE
effects,20,0.002,FALSE,FALSE,FALSE
#fornature,20,0.002,FALSE,FALSE,FALSE
degraded,20,0.002,FALSE,FALSE,FALSE
enhance,20,0.002,TRUE,FALSE,FALSE
#highseas,20,0.002,FALSE,FALSE,FALSE
reservoirs,20,0.002,FALSE,FALSE,FALSE
multitude,20,0.002,FALSE,FALSE,FALSE
ambitious,20,0.002,TRUE,FALSE,FALSE
#highseastreaty,20,0.002,FALSE,FALSE,FALSE
#listentotheocean,20,0.002,FALSE,FALSE,FALSE
#oneoceanoneplanet,20,0.002,FALSE,FALSE,FALSE
#bbnj,20,0.002,FALSE,FALSE,FALSE
approach,19,0.002,FALSE,FALSE,FALSE
farmers,19,0.002,FALSE,FALSE,FALSE
park,19,0.002,FALSE,FALSE,FALSE
unsustainable,19,0.002,FALSE,TRUE,FALSE
selection,19,0.002,FALSE,FALSE,FALSE
fish,19,0.002,FALSE,FALSE,FALSE
#pollution,19,0.002,FALSE,FALSE,FALSE
releases,19,0.002,FALSE,FALSE,FALSE
exposures,19,0.002,FALSE,FALSE,FALSE
replenish,19,0.002,FALSE,FALSE,FALSE
markets,18,0.002,FALSE,FALSE,FALSE
living,18,0.002,FALSE,FALSE,FALSE
sites,18,0.002,FALSE,FALSE,FALSE
#climateaction,18,0.002,FALSE,FALSE,FALSE
lands,18,0.002,FALSE,FALSE,FALSE
field,18,0.002,FALSE,FALSE,FALSE
altitude,18,0.002,FALSE,FALSE,FALSE
#himalaya,18,0.002,FALSE,FALSE,FALSE
systems,17,0.002,FALSE,FALSE,FALSE
resources,17,0.002,FALSE,FALSE,FALSE
coral,17,0.002,FALSE,FALSE,FALSE
knowledge,17,0.002,FALSE,FALSE,FALSE
marine,17,0.002,FALSE,FALSE,FALSE
birds,17,0.002,FALSE,FALSE,FALSE
chance,17,0.002,FALSE,FALSE,FALSE
mapping,17,0.002,FALSE,FALSE,FALSE
multiple,17,0.002,FALSE,FALSE,FALSE
supporting,17,0.002,TRUE,FALSE,FALSE
losing,17,0.002,FALSE,TRUE,FALSE
asian,16,0.002,FALSE,FALSE,FALSE
maintain,16,0.002,FALSE,FALSE,FALSE
explore,16,0.002,FALSE,FALSE,FALSE
adaptation,16,0.002,FALSE,FALSE,FALSE
scale,16,0.002,FALSE,FALSE,FALSE
#wetlandsday,16,0.002,FALSE,FALSE,FALSE
interlinkages,16,0.002,FALSE,FALSE,FALSE
conserve,16,0.002,FALSE,FALSE,FALSE
valuable,15,0.002,TRUE,FALSE,FALSE
resilience,15,0.002,FALSE,FALSE,FALSE
trees,15,0.002,FALSE,FALSE,FALSE
benefit,15,0.002,TRUE,FALSE,FALSE
agricultural,15,0.002,FALSE,FALSE,FALSE
canada,15,0.002,FALSE,FALSE,FALSE
producing,15,0.002,FALSE,FALSE,FALSE
diverse,15,0.002,FALSE,FALSE,FALSE
councils,15,0.002,FALSE,FALSE,FALSE
pollinators,15,0.002,FALSE,FALSE,FALSE
#rwanda,15,0.002,FALSE,FALSE,FALSE
tonnes,14,0.002,FALSE,FALSE,FALSE
co2,14,0.002,FALSE,FALSE,FALSE
#worldwetlandsday2022,14,0.002,FALSE,FALSE,FALSE
sector,14,0.002,FALSE,FALSE,FALSE
cover,14,0.002,FALSE,FALSE,FALSE
time,14,0.002,FALSE,FALSE,FALSE
capital,14,0.002,FALSE,FALSE,FALSE
economy,14,0.002,FALSE,FALSE,FALSE
home,14,0.002,FALSE,FALSE,FALSE
special,14,0.002,FALSE,FALSE,FALSE
policies,14,0.002,FALSE,FALSE,FALSE
significant,14,0.002,TRUE,FALSE,FALSE
dowitcher,14,0.002,FALSE,FALSE,FALSE
adapted,14,0.002,FALSE,FALSE,FALSE
production,14,0.002,FALSE,FALSE,FALSE
trade,14,0.002,FALSE,FALSE,FALSE
farming,14,0.002,FALSE,FALSE,FALSE
eu,14,0.002,FALSE,FALSE,FALSE
inspiring,14,0.002,TRUE,FALSE,FALSE
business,14,0.002,FALSE,FALSE,FALSE
live,13,0.001,FALSE,FALSE,FALSE
cities,13,0.001,FALSE,FALSE,FALSE
earth,13,0.001,FALSE,FALSE,FALSE
plants,13,0.001,FALSE,FALSE,FALSE
rivers,13,0.001,FALSE,FALSE,FALSE
agriculture,13,0.001,FALSE,FALSE,FALSE
provision,13,0.001,FALSE,FALSE,FALSE
ontario,13,0.001,FALSE,FALSE,FALSE
spaces,13,0.001,FALSE,FALSE,FALSE
produce,13,0.001,FALSE,FALSE,FALSE
#environment,13,0.001,FALSE,FALSE,FALSE
#wetlandsnature4people,13,0.001,FALSE,FALSE,FALSE
mental,13,0.001,FALSE,FALSE,FALSE
blue,13,0.001,FALSE,FALSE,FALSE
mandatory,13,0.001,FALSE,FALSE,FALSE
losses,12,0.001,FALSE,TRUE,FALSE
boon,12,0.001,FALSE,FALSE,FALSE
#equatorprize,12,0.001,FALSE,FALSE,FALSE
globally,12,0.001,FALSE,FALSE,FALSE
values,12,0.001,FALSE,FALSE,FALSE
valuation,12,0.001,FALSE,FALSE,FALSE
different,12,0.001,FALSE,FALSE,FALSE
distribution,12,0.001,FALSE,FALSE,FALSE
improve,12,0.001,TRUE,FALSE,FALSE
supports,12,0.001,TRUE,FALSE,FALSE
storage,12,0.001,FALSE,FALSE,FALSE
mangrove,12,0.001,FALSE,FALSE,FALSE
#water,12,0.001,FALSE,FALSE,FALSE
action,12,0.001,FALSE,FALSE,FALSE
cocoa,12,0.002,FALSE,FALSE,FALSE
sea,12,0.001,FALSE,FALSE,FALSE
social,12,0.001,FALSE,FALSE,FALSE
chains,12,0.001,FALSE,FALSE,FALSE
#cameroon,12,0.001,FALSE,FALSE,FALSE
sleepless,12,0.001,FALSE,FALSE,FALSE
nights,12,0.001,FALSE,FALSE,FALSE
experts,12,0.001,FALSE,FALSE,FALSE
practices,11,0.001,FALSE,FALSE,FALSE
#climatecrisis,11,0.001,FALSE,FALSE,FALSE
protected,11,0.001,FALSE,FALSE,FALSE
conserving,11,0.001,FALSE,FALSE,FALSE
wealth,11,0.001,FALSE,FALSE,FALSE
made,11,0.001,FALSE,FALSE,FALSE
river,11,0.001,FALSE,FALSE,FALSE
regulation,11,0.001,FALSE,FALSE,FALSE
maintaining,11,0.001,FALSE,FALSE,FALSE
develop,11,0.001,FALSE,FALSE,FALSE
filtration,11,0.001,FALSE,FALSE,FALSE
act,11,0.001,FALSE,FALSE,FALSE
nutrient,11,0.001,FALSE,FALSE,FALSE
measure,11,0.001,FALSE,FALSE,FALSE
training,11,0.001,FALSE,FALSE,FALSE
activity,11,0.001,FALSE,FALSE,FALSE
island,11,0.001,FALSE,FALSE,FALSE
lead,11,0.001,TRUE,FALSE,FALSE
pearl,11,0.001,FALSE,FALSE,FALSE
committee,11,0.001,FALSE,FALSE,FALSE
innovative,11,0.001,TRUE,FALSE,FALSE
interactions,11,0.001,FALSE,FALSE,FALSE
increase,11,0.001,FALSE,FALSE,FALSE
poor,11,0.001,FALSE,TRUE,FALSE
maps,11,0.001,FALSE,FALSE,FALSE
play,10,0.001,FALSE,FALSE,FALSE
ecology,10,0.001,FALSE,FALSE,FALSE
accounting,10,0.001,FALSE,FALSE,FALSE
fresh,10,0.001,TRUE,FALSE,FALSE
society,10,0.001,FALSE,FALSE,FALSE
risk,10,0.001,FALSE,TRUE,FALSE
expansion,10,0.001,FALSE,FALSE,FALSE
tomorrow,10,0.001,FALSE,FALSE,FALSE
filter,10,0.001,FALSE,FALSE,FALSE
tool,10,0.001,FALSE,FALSE,FALSE
erosion,10,0.001,FALSE,TRUE,FALSE
awareness,10,0.001,FALSE,FALSE,FALSE
seagrass,10,0.001,FALSE,FALSE,FALSE
beds,10,0.001,FALSE,FALSE,FALSE
#ecosystemrestoration,10,0.001,FALSE,FALSE,FALSE
#soil,10,0.001,FALSE,FALSE,FALSE
planning,10,0.001,FALSE,FALSE,FALSE
countries,10,0.001,FALSE,FALSE,FALSE
farm,10,0.001,FALSE,FALSE,FALSE
chair,10,0.001,FALSE,FALSE,FALSE
'biodiversity,10,0.001,FALSE,FALSE,FALSE
pandemics,10,0.001,FALSE,FALSE,FALSE
workshop',10,0.001,FALSE,FALSE,FALSE
asia,10,0.001,FALSE,FALSE,FALSE
#opensource,10,0.001,FALSE,FALSE,FALSE
weedsandwellies,10,0.001,FALSE,FALSE,FALSE
seed,10,0.001,FALSE,FALSE,FALSE
reverse,10,0.001,FALSE,FALSE,FALSE
efficient,10,0.001,TRUE,FALSE,FALSE
million,9,0.001,FALSE,FALSE,FALSE
#sustainable,9,0.001,FALSE,FALSE,FALSE
stores,9,0.001,FALSE,FALSE,FALSE
access,9,0.001,FALSE,FALSE,FALSE
reduce,9,0.001,FALSE,FALSE,FALSE
w,9,0.001,FALSE,FALSE,FALSE
#naturebasedsolutions,9,0.001,FALSE,FALSE,FALSE
needed,9,0.001,FALSE,FALSE,FALSE
found,9,0.001,FALSE,FALSE,FALSE
increased,9,0.001,FALSE,FALSE,FALSE
roadmap,9,0.001,FALSE,FALSE,FALSE
discuss,9,0.001,FALSE,FALSE,FALSE
#pollinators,9,0.001,FALSE,FALSE,FALSE
both,9,0.001,FALSE,FALSE,FALSE
promoting,9,0.001,FALSE,FALSE,FALSE
lakes,9,0.001,FALSE,FALSE,FALSE
plans,9,0.001,FALSE,FALSE,FALSE
finance,9,0.001,FALSE,FALSE,FALSE
integrated,9,0.001,TRUE,FALSE,FALSE
sustainability,9,0.001,TRUE,FALSE,FALSE
residents,9,0.001,FALSE,FALSE,FALSE
availability,9,0.001,FALSE,FALSE,FALSE
discussing,9,0.001,FALSE,FALSE,FALSE
exciting,9,0.001,TRUE,FALSE,FALSE
matters,9,0.001,FALSE,FALSE,FALSE
shout,9,0.001,FALSE,FALSE,FALSE
mountain,9,0.001,FALSE,FALSE,FALSE
cmcc,9,0.001,FALSE,FALSE,FALSE
increasing,9,0.001,FALSE,FALSE,FALSE
offer,9,0.001,FALSE,FALSE,FALSE
storing,9,0.001,FALSE,FALSE,FALSE
renewable,9,0.001,FALSE,FALSE,FALSE
sykeint,9,0.001,FALSE,FALSE,FALSE
green,9,0.001,FALSE,FALSE,FALSE
serve,9,0.001,FALSE,FALSE,FALSE
pollution,9,0.001,FALSE,FALSE,FALSE
groundwater,9,0.001,FALSE,FALSE,FALSE
#conservation,9,0.001,FALSE,FALSE,FALSE
#restorewetlands,9,0.001,FALSE,FALSE,FALSE
aesthetic,9,0.001,FALSE,FALSE,FALSE
#restoration,9,0.001,FALSE,FALSE,FALSE
hill,9,0.001,FALSE,FALSE,FALSE
#citieswithnature,9,0.001,FALSE,FALSE,FALSE
#regionswithnature,9,0.001,FALSE,FALSE,FALSE
connectivity,9,0.001,FALSE,FALSE,FALSE
m,9,0.001,FALSE,FALSE,FALSE
existing,9,0.001,FALSE,FALSE,FALSE
traditional,9,0.001,FALSE,FALSE,FALSE
#agriculture,9,0.001,FALSE,FALSE,FALSE
europeanforest,9,0.001,FALSE,FALSE,FALSE
heartiest,9,0.001,FALSE,FALSE,FALSE
kumar,9,0.001,FALSE,FALSE,FALSE
nibio_no,9,0.001,FALSE,FALSE,FALSE
salmonid,9,0.001,FALSE,FALSE,FALSE
recording,9,0.001,FALSE,FALSE,FALSE
#scs2022,9,0.001,FALSE,FALSE,FALSE
broad,9,0.001,FALSE,FALSE,FALSE
spectrum,9,0.001,FALSE,FALSE,FALSE
sciences,9,0.001,FALSE,FALSE,FALSE
exp,9,0.001,FALSE,FALSE,FALSE
paleoclimate,9,0.001,FALSE,FALSE,FALSE
observations,9,0.001,FALSE,FALSE,FALSE
adap,9,0.001,FALSE,FALSE,FALSE
strat,9,0.001,FALSE,FALSE,FALSE
biodiv,9,0.001,FALSE,FALSE,FALSE
#climatereport,9,0.001,FALSE,FALSE,FALSE
#bhuresearchflash,9,0.001,FALSE,FALSE,FALSE
#makingbhuproud,9,0.001,FALSE,FALSE,FALSE
kr,9,0.001,FALSE,FALSE,FALSE
tested,9,0.001,FALSE,FALSE,FALSE
humans,8,0.001,FALSE,FALSE,FALSE
become,8,0.001,FALSE,FALSE,FALSE
article,8,0.001,FALSE,FALSE,FALSE
market,8,0.001,FALSE,FALSE,FALSE
del,8,0.001,FALSE,FALSE,FALSE
tree,8,0.001,FALSE,FALSE,FALSE
creation,8,0.001,FALSE,FALSE,FALSE
celebrating,8,0.001,FALSE,FALSE,FALSE
mangroves,8,0.001,FALSE,FALSE,FALSE
sinks,8,0.001,FALSE,FALSE,FALSE
model,8,0.001,FALSE,FALSE,FALSE
store,8,0.001,FALSE,FALSE,FALSE
network,8,0.001,FALSE,FALSE,FALSE
stress,8,0.001,FALSE,TRUE,FALSE
test,8,0.001,FALSE,FALSE,FALSE
assessing,8,0.001,FALSE,FALSE,FALSE
public,8,0.001,FALSE,FALSE,FALSE
livestock,8,0.001,FALSE,FALSE,FALSE
manage,8,0.001,FALSE,FALSE,FALSE
considered,8,0.001,FALSE,FALSE,FALSE
costs,8,0.001,FALSE,FALSE,FALSE
economics,8,0.001,FALSE,FALSE,FALSE
currency,8,0.001,FALSE,FALSE,FALSE
#landscapes,8,0.001,FALSE,FALSE,FALSE
celebrate,8,0.001,TRUE,FALSE,FALSE
understanding,8,0.001,FALSE,FALSE,FALSE
hear,8,0.001,FALSE,FALSE,FALSE
past,8,0.001,FALSE,FALSE,FALSE
nichinstitute,8,0.001,FALSE,FALSE,FALSE
2021,8,0.001,FALSE,FALSE,FALSE
ha,8,0.001,FALSE,FALSE,FALSE
servirglobal,8,0.001,FALSE,FALSE,FALSE
activities,8,0.001,FALSE,FALSE,FALSE
free,8,0.001,TRUE,FALSE,FALSE
ratio,8,0.001,FALSE,FALSE,FALSE
native,8,0.001,FALSE,FALSE,FALSE
focuses,8,0.001,FALSE,FALSE,FALSE
glimpses,8,0.001,FALSE,FALSE,FALSE
journey,8,0.001,FALSE,FALSE,FALSE
#indiawaterfoundation,8,0.001,FALSE,FALSE,FALSE
beyond,8,0.001,FALSE,FALSE,FALSE
prevention,8,0.001,FALSE,FALSE,FALSE
flooding,8,0.001,FALSE,FALSE,FALSE
africa,8,0.001,FALSE,FALSE,FALSE
once,8,0.001,FALSE,FALSE,FALSE
peru,8,0.001,FALSE,FALSE,FALSE
#ecosystems,8,0.001,FALSE,FALSE,FALSE
info,8,0.001,FALSE,FALSE,FALSE
stakeholders,8,0.001,FALSE,FALSE,FALSE
higher,8,0.001,FALSE,FALSE,FALSE
reports,8,0.001,FALSE,FALSE,FALSE
foundation,8,0.001,FALSE,FALSE,FALSE
level,8,0.001,FALSE,FALSE,FALSE
cifor,8,0.001,FALSE,FALSE,FALSE
unep,8,0.001,FALSE,FALSE,FALSE
