,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Count,Vertex 1 Group,Vertex 2 Group,Edge Weight
#actforwetlands,#worldwetlandsday,,,,,,,,,,3,,15,5,5,1
#biodiversity,#ecosystemservices,,,,,,,,,,4,,21,10,13,1
#biodiversity,human,,,,,,,,,,5,,21,10,4,1
#biodiversity,losses,,,,,,,,,,6,,10,10,10,1
#biodiversity,planet,,,,,,,,,,7,,20,10,12,1
#cameroon,national,,,,,,,,,,8,,12,1,1,1
#climateaction,#ecosystemservices,,,,,,,,,,9,,18,5,13,1
#climatechange,unsustainable,,,,,,,,,,10,,18,9,9,1
#ecosystemservices,value,,,,,,,,,,11,,15,13,13,1
#highseas,reservoirs,,,,,,,,,,12,,20,10,10,1
#highseastreaty,#listentotheocean,,,,,,,,,,13,,20,12,12,1
#himalaya,livelihoods,,,,,,,,,,14,,18,3,2,1
#listentotheocean,#oneoceanoneplanet,,,,,,,,,,15,,20,12,12,1
#oneoceanoneplanet,#bbnj,,,,,,,,,,16,,20,12,12,1
#pollution,negative,,,,,,,,,,17,,19,6,6,1
#wetlands,#himalaya,,,,,,,,,,18,,18,3,3,1
#wetlands,replenish,,,,,,,,,,19,,18,3,8,1
#wetlands,vital,,,,,,,,,,20,,12,3,3,1
#worldwetlandday,wetlands,,,,,,,,,,21,,12,2,2,1
#worldwetlandsday,#climateaction,,,,,,,,,,22,,10,5,5,1
#worldwetlandsday,#generationrestoration,,,,,,,,,,23,,45,5,5,1
actions,reducing,,,,,,,,,,24,,19,4,6,1
adapted,habitats,,,,,,,,,,25,,14,1,5,1
affect,ground,,,,,,,,,,26,,28,8,8,1
air,water,,,,,,,,,,27,,15,4,4,1
altitude,#wetlands,,,,,,,,,,28,,18,3,3,1
ambitious,#highseastreaty,,,,,,,,,,29,,20,12,12,1
approaches,service,,,,,,,,,,30,,28,8,8,1
asian,dowitcher,,,,,,,,,,31,,14,1,1,1
assessment,interlinkages,,,,,,,,,,32,,16,1,1,1
benefits,#generationrestoration,,,,,,,,,,33,,10,5,5,1
biodiversity,assessment,,,,,,,,,,34,,12,1,1,1
biodiversity,climate,,,,,,,,,,35,,13,1,1,1
biodiversity,sustain,,,,,,,,,,36,,14,1,1,1
biodiversity,water,,,,,,,,,,37,,16,1,4,1
'biodiversity,pandemics,,,,,,,,,,38,,10,7,7,1
carbon,sequestration,,,,,,,,,,39,,26,3,3,1
chains,poor,,,,,,,,,,40,,11,13,13,1
chair,'biodiversity,,,,,,,,,,41,,10,7,7,1
change,mitigation,,,,,,,,,,42,,13,1,1,1
clean,air,,,,,,,,,,43,,19,4,4,1
climate,change,,,,,,,,,,44,,51,1,1,1
coastal,wetlands,,,,,,,,,,45,,15,2,2,1
communities,protect,,,,,,,,,,46,,14,9,9,1
conserve,critical,,,,,,,,,,47,,10,5,5,1
councils,mandatory,,,,,,,,,,48,,13,17,17,1
critical,habitats,,,,,,,,,,49,,10,5,5,1
degradation,natural,,,,,,,,,,50,,14,2,2,1
dowitcher,adapted,,,,,,,,,,51,,14,1,1,1
ecological,benefits,,,,,,,,,,52,,10,5,5,1
economic,investment,,,,,,,,,,53,,15,2,2,1
economic,social,,,,,,,,,,54,,10,2,5,1
ecosystems,environmental,,,,,,,,,,55,,10,3,5,1
effects,biodiversity,,,,,,,,,,56,,14,1,1,1
efficient,producing,,,,,,,,,,57,,10,10,10,1
emissions,releases,,,,,,,,,,58,,19,6,6,1
environmental,science,,,,,,,,,,59,,25,5,7,1
environmental,solutions,,,,,,,,,,60,,10,5,5,1
experts,assessment,,,,,,,,,,61,,12,1,1,1
explore,different,,,,,,,,,,62,,10,16,16,1
face,#climatechange,,,,,,,,,,63,,18,9,9,1
flood,control,,,,,,,,,,64,,11,4,4,1
flood,protection,,,,,,,,,,65,,15,4,4,1
flood,risk,,,,,,,,,,66,,10,4,4,1
food,health,,,,,,,,,,67,,16,4,4,1
food,security,,,,,,,,,,68,,17,4,4,1
foods,foods,,,,,,,,,,69,,11,11,11,1
foods,sustainable,,,,,,,,,,70,,11,11,11,1
forest,conservation,,,,,,,,,,71,,12,11,11,1
forest,foods,,,,,,,,,,72,,11,11,11,1
forest,lands,,,,,,,,,,73,,14,11,11,1
forest,value,,,,,,,,,,74,,11,11,13,2
freshwater,pearl,,,,,,,,,,75,,11,15,15,1
genetic,approaches,,,,,,,,,,76,,28,8,8,1
global,issue,,,,,,,,,,77,,19,6,6,1
ground,phenotyping,,,,,,,,,,78,,28,8,8,1
ground,water,,,,,,,,,,79,,18,8,4,1
habitat,recreational,,,,,,,,,,80,,12,3,3,1
habitats,#actforwetlands,,,,,,,,,,81,,10,5,5,1
habitats,#worldwetlandsday,,,,,,,,,,82,,14,5,5,1
health,#worldwetlandsday,,,,,,,,,,83,,45,4,5,1
health,actions,,,,,,,,,,84,,19,4,4,1
health,intergovernmental,,,,,,,,,,85,,16,4,7,1
human,health,,,,,,,,,,86,,21,4,4,1
impacts,#biodiversity,,,,,,,,,,87,,19,6,10,1
increase,provision,,,,,,,,,,88,,10,10,10,1
indian,institute,,,,,,,,,,89,,25,7,7,1
institute,technology,,,,,,,,,,90,,25,7,7,1
intergovernmental,science,,,,,,,,,,91,,32,7,7,1
interlinkages,biodiversity,,,,,,,,,,92,,16,1,1,1
issue,mercury,,,,,,,,,,93,,19,6,6,1
know,#wetlands,,,,,,,,,,94,,10,9,3,1
know,losing,,,,,,,,,,95,,14,9,9,1
know,save,,,,,,,,,,96,,14,9,9,2
land,markets,,,,,,,,,,97,,11,11,11,1
landscape',#worldwetlandday,,,,,,,,,,98,,25,2,2,1
life,livelihoods,,,,,,,,,,99,,45,2,2,1
livelihoods,economic,,,,,,,,,,100,,15,2,2,1
livelihoods,face,,,,,,,,,,101,,18,2,9,1
livelihoods,wetlands,,,,,,,,,,102,,45,2,2,1
local,communities,,,,,,,,,,103,,18,9,9,1
losing,local,,,,,,,,,,104,,14,9,9,1
losses,increase,,,,,,,,,,105,,10,10,10,1
management,global,,,,,,,,,,106,,19,6,6,1
markets,forest,,,,,,,,,,107,,13,11,11,1
mercury,#pollution,,,,,,,,,,108,,19,6,6,1
mercury,emissions,,,,,,,,,,109,,19,6,6,1
mercury,management,,,,,,,,,,110,,19,6,6,1
mitigation,adaptation,,,,,,,,,,111,,12,1,1,1
multiple,economic,,,,,,,,,,112,,10,2,2,1
multitude,world,,,,,,,,,,113,,20,12,12,1
national,biodiversity,,,,,,,,,,114,,12,1,1,1
natural,capital,,,,,,,,,,115,,12,2,2,1
natural,wetlands,,,,,,,,,,116,,14,2,2,1
nature,livelihoods,,,,,,,,,,117,,15,13,2,1
negative,impacts,,,,,,,,,,118,,22,6,6,1
nights,experts,,,,,,,,,,119,,12,1,1,1
opportunities,carbon,,,,,,,,,,120,,12,3,3,1
pandemics,workshop',,,,,,,,,,121,,10,7,7,1
phenotyping,genetic,,,,,,,,,,122,,28,8,8,1
planet,multitude,,,,,,,,,,123,,20,12,12,1
policy,biodiversity,,,,,,,,,,124,,33,1,1,1
poor,development,,,,,,,,,,125,,11,13,13,1
producing,multiple,,,,,,,,,,126,,10,10,2,1
protect,#actforwetlands,,,,,,,,,,127,,18,9,5,1
protect,forest,,,,,,,,,,128,,14,9,11,1
protection,water,,,,,,,,,,129,,12,4,4,1
provision,efficient,,,,,,,,,,130,,10,10,10,1
purification,wildlife,,,,,,,,,,131,,12,3,3,1
recreational,opportunities,,,,,,,,,,132,,13,3,3,1
reducing,mercury,,,,,,,,,,133,,19,6,6,1
releases,exposures,,,,,,,,,,134,,19,6,6,1
replenish,ground,,,,,,,,,,135,,18,8,8,1
reservoirs,#biodiversity,,,,,,,,,,136,,20,10,10,1
restoration,reverse,,,,,,,,,,137,,10,10,10,1
reverse,#biodiversity,,,,,,,,,,138,,10,10,10,1
root,traits,,,,,,,,,,139,,28,8,8,1
science,indian,,,,,,,,,,140,,25,7,7,1
science,policy,,,,,,,,,,141,,32,7,1,1
selection,assessment,,,,,,,,,,142,,18,1,1,1
sequestration,#wetlands,,,,,,,,,,143,,12,3,3,1
service,performance,,,,,,,,,,144,,28,8,8,1
significant,effects,,,,,,,,,,145,,14,1,1,1
sleepless,nights,,,,,,,,,,146,,12,1,1,1
social,ecological,,,,,,,,,,147,,10,5,5,1
solutions,conserve,,,,,,,,,,148,,10,5,5,1
support,ambitious,,,,,,,,,,149,,20,12,12,1
sustain,asian,,,,,,,,,,150,,14,1,1,1
sustainable,land,,,,,,,,,,151,,19,11,11,1
technology,'valuation,,,,,,,,,,152,,25,7,7,1
theme,#ecosystemservices,,,,,,,,,,153,,15,13,13,1
tonnes,co2,,,,,,,,,,154,,12,14,14,1
tourism,protect,,,,,,,,,,155,,18,9,9,1
traits,affect,,,,,,,,,,156,,28,8,8,1
unsustainable,tourism,,,,,,,,,,157,,18,9,9,1
'valuation,wetlands,,,,,,,,,,158,,25,7,2,1
value,chains,,,,,,,,,,159,,11,13,13,1
value,clean,,,,,,,,,,160,,11,13,4,1
value,nature,,,,,,,,,,161,,17,13,13,1
vital,ecosystems,,,,,,,,,,162,,15,3,3,1
water,food,,,,,,,,,,163,,18,4,4,1
water,management,,,,,,,,,,164,,12,4,6,1
water,purification,,,,,,,,,,165,,18,4,3,1
water,value,,,,,,,,,,166,,11,4,13,1
wetland,areas,,,,,,,,,,167,,11,11,11,1
wetland,forest,,,,,,,,,,168,,24,11,11,1
wetlands,essential,,,,,,,,,,169,,11,2,2,1
wetlands,flood,,,,,,,,,,170,,12,2,4,1
wetlands,health,,,,,,,,,,171,,45,2,4,1
wetlands,landscape',,,,,,,,,,172,,25,2,2,1
wetlands,life,,,,,,,,,,173,,45,2,2,1
wetlands,significant,,,,,,,,,,174,,14,2,1,1
wildlife,habitat,,,,,,,,,,175,,14,3,3,1
workshop',intergovernmental,,,,,,,,,,176,,10,7,7,1
world,#wetlands,,,,,,,,,,177,,10,12,3,1
world,support,,,,,,,,,,178,,20,12,12,1
world,wetlands,,,,,,,,,,179,,31,12,2,1
